docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/app-local-shared-candidates.md:5:Summary: 71 rows; 6 compatibility facades; 23 migration candidates; 20 app adapters/plugin integrations; 1 owner-decision candidate; 15 test-only rows.
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/app-local-shared-candidates.md:48:| apps/web-demo/src/utils/safeStorage/crypto.ts | safeStorage | Web Crypto plus crypto-es helper | app-local-shared-candidate | needs-owner-decision | true | false | true | false | @ccd/contracts type-only, app adapter or approved web-library | owner decision required | high | M5 | B-07 | Do not move Web Crypto implementation into contracts/core. |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:9:| apps/desktop/src/plugins/index.ts | @ccd/desktop | import-from | primevue/config | production | approved-app-plugin-integration | app-plugin-integration | true | yes | apps/desktop plugin shell | keep; install PrimeVue through @ccd/vue-primevue-adapter config/services | C-06 | none |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:83:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/tabs | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:84:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/tag | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:85:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/textarea | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:86:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/toggleswitch | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:87:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/tooltip | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:88:| apps/web-demo/src/views/dashboard/index.vue | @ccd/web-demo | import-from | primevue/button | production | approved-exact-app-allowlist | app-view | true | temporary | apps/web-demo exact exception owner | future lane should migrate behind @ccd/vue-ui/Ccd* wrapper | C-06 | M5/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:89:| apps/web-demo/src/views/example/components/primevue-collection/overview/index.vue | @ccd/web-demo | import-from | primevue/useconfirm | production | showcase-exception | app-view / showcase-exception | true | yes, showcase only | apps/web-demo example views | keep path-scoped showcase exception; do not broaden beyond primevue-collection | C-06 | none |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:90:| apps/web-demo/src/views/example/components/primevue-collection/prime-dialog/index.vue | @ccd/web-demo | import-from | primevue/button | production | showcase-exception | app-view / showcase-exception | true | yes, showcase only | apps/web-demo example views | keep path-scoped showcase exception; do not broaden beyond primevue-collection | C-06 | none |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:91:| apps/web-demo/src/views/example/components/primevue-collection/pro-form/advanced/index.vue | @ccd/web-demo | import-from | primevue/button | production | showcase-exception | app-view / showcase-exception | true | yes, showcase only | apps/web-demo example views | keep path-scoped showcase exception; do not broaden beyond primevue-collection | C-06 | none |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:92:| apps/web-demo/src/views/example/components/primevue-collection/pro-form/advanced/index.vue | @ccd/web-demo | import-from | primevue/inputtext | production | showcase-exception | app-view / showcase-exception | true | yes, showcase only | apps/web-demo example views | keep path-scoped showcase exception; do not broaden beyond primevue-collection | C-06 | none |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:93:| apps/web-demo/src/views/example/components/primevue-collection/pro-form/advanced/index.vue | @ccd/web-demo | import-from | primevue/select | production | showcase-exception | app-view / showcase-exception | true | yes, showcase only | apps/web-demo example views | keep path-scoped showcase exception; do not broaden beyond primevue-collection | C-06 | none |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:94:| apps/web-demo/src/views/example/components/primevue-collection/pro-form/plugins/components/ColorPickerField.tsx | @ccd/web-demo | import-from | primevue/inputtext | production | showcase-exception | app-view / showcase-exception | true | yes, showcase only | apps/web-demo example views | keep path-scoped showcase exception; do not broaden beyond primevue-collection | C-06 | none |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:95:| apps/web-demo/src/views/example/components/primevue-collection/pro-form/plugins/components/MyColorCustomInput.tsx | @ccd/web-demo | import-from | primevue/inputtext | production | showcase-exception | app-view / showcase-exception | true | yes, showcase only | apps/web-demo example views | keep path-scoped showcase exception; do not broaden beyond primevue-collection | C-06 | none |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:96:| apps/web-demo/src/views/example/components/primevue-collection/pro-table/advanced/configs/columns.tsx | @ccd/web-demo | import-from | primevue/button | production | showcase-exception | app-view / showcase-exception | true | yes, showcase only | apps/web-demo example views | keep path-scoped showcase exception; do not broaden beyond primevue-collection | C-06 | none |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:97:| apps/web-demo/src/views/example/components/primevue-collection/pro-table/advanced/index.vue | @ccd/web-demo | import-from | primevue/useconfirm | production | showcase-exception | app-view / showcase-exception | true | yes, showcase only | apps/web-demo example views | keep path-scoped showcase exception; do not broaden beyond primevue-collection | C-06 | none |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:98:| apps/web-demo/src/views/example/components/primevue-collection/pro-table/columns/columns.tsx | @ccd/web-demo | import-from | primevue/button | production | showcase-exception | app-view / showcase-exception | true | yes, showcase only | apps/web-demo example views | keep path-scoped showcase exception; do not broaden beyond primevue-collection | C-06 | none |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:99:| apps/web-demo/src/views/example/components/primevue-collection/pro-table/form-table-combo/components/TablePanel.vue | @ccd/web-demo | import-from | primevue/button | production | showcase-exception | app-view / showcase-exception | true | yes, showcase only | apps/web-demo example views | keep path-scoped showcase exception; do not broaden beyond primevue-collection | C-06 | none |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:100:| apps/web-demo/src/views/example/components/primevue-collection/pro-table/server/columns.tsx | @ccd/web-demo | import-from | primevue/tag | production | showcase-exception | app-view / showcase-exception | true | yes, showcase only | apps/web-demo example views | keep path-scoped showcase exception; do not broaden beyond primevue-collection | C-06 | none |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:101:| apps/web-demo/src/views/example/hooks/layout-breadcrumbs.vue | @ccd/web-demo | import-from | primevue/tieredmenu | production | approved-exact-app-allowlist | app-view | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:102:| apps/web-demo/src/views/example/hooks/use-app-element-size.vue | @ccd/web-demo | import-from | primevue/tag | production | approved-exact-app-allowlist | app-view | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:103:| apps/web-demo/src/views/example/system-configuration/layout.vue | @ccd/web-demo | type-import-from | primevue/popover | production | approved-exact-app-allowlist | app-view | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
